Summary,Description,Priority,Labels,Status
[val-rb-5] Footprint rule: brand in top-N organic ⇔ audit.mentioned / footprint boolean,Task ID: val-rb-5 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-5",To Do
[val-rb-6] Gap heuristics: weak_ranking ⇔ brand absent from top 10; score label accuracy,Task ID: val-rb-6 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-6",To Do
[val-rb-7] Run full rule suite on simulated + measured; compare score distributions,Task ID: val-rb-7 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-7",To Do
[val-rb-8] Publish rule-based report: per-field agreement % + simulate vs measured delta,Task ID: val-rb-8 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-8",To Do
[val-rb-9] Reconcile tracks: where AI finds links but rules score 0 (and vice versa),Task ID: val-rb-9 | Workstream: validation_rules | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,validation_rules,val-rb-9",To Do
[prod-1] Product spec: Top cited pages for your industry (Semrush AI parity),Task ID: prod-1 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-1",To Do
"[prod-2] Define industry scope: KYC category, prompt cluster, or vertical tag",Task ID: prod-2 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-2",To Do
[prod-3] Backend: aggregate citation URLs across analyses / geo_records by domain+path,"Task ID: prod-3 | Workstream: product | Canvas priority: P0 | Files: geo_records.py, checker_summary.py | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,product,prod-3",To Do
[prod-4] API endpoint: top pages ranked by citation count + share of voice,Task ID: prod-4 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-4",To Do
[prod-5] Frontend page: /ai-visibility/top-cited-pages (table + domain drill-down),Task ID: prod-5 | Workstream: product | Canvas priority: P0 | Files: app/ai-visibility/citations/ | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-5",To Do
[prod-6] Nav + shell: add under AI Visibility toolkit (semrush nav parity),Task ID: prod-6 | Workstream: product | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,product,prod-6",To Do
[prod-7] Optional: enrich with DataForSEO industry SERP benchmarks when live,Task ID: prod-7 | Workstream: product | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,product,prod-7",To Do
[prod-8] Export / filter by date range and competitor set,Task ID: prod-8 | Workstream: product | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,product,prod-8",To Do
"[inf-1] Mirror-push repo to new GitHub org (branches, no PRs)",Task ID: inf-1 | Workstream: infra | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,infra,inf-1",To Do
[inf-2] Research consistent test deploy: single compose + volume wipe + migration head,Task ID: inf-2 | Workstream: infra | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,infra,inf-2",To Do
[inf-3] Document worker inventory + which jobs touch SERP/search providers,Task ID: inf-3 | Workstream: infra | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,infra,inf-3",To Do
[sem-ai-0] Metric glossary UI: Mentions ≠ Citations ≠ Cited Pages; SOV ≠ market share; AI Volume disclaimer,"Task ID: sem-ai-0 | Workstream: semrush_ai | Canvas priority: P0 | Files: methodology, results UI | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-0",To Do
"[sem-ai-1] Visibility Overview — separate Mentions, Citations, Cited Pages cards + 0–100 score","Task ID: sem-ai-1 | Workstream: semrush_ai | Canvas priority: P0 | Files: geo_score, citation_summary | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-1",To Do
[sem-ai-2] Visibility trend chart with date scope + platform/country breakdowns,Task ID: sem-ai-2 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_ai,sem-ai-2",To Do
[sem-ai-3] Topics + topic opportunities table from cross-run aggregation,Task ID: sem-ai-3 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_ai,sem-ai-3",To Do
"[sem-ai-4] Sources table: cited sources, source opportunities, cited pages drill-down","Task ID: sem-ai-4 | Workstream: semrush_ai | Canvas priority: P0 | Files: citations/, top-cited-pages | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-4",To Do
[sem-ai-5] Inline prompt response inspector — full answer + source URLs expandable,"Task ID: sem-ai-5 | Workstream: semrush_ai | Canvas priority: P1 | Files: QuestionBreakdown, ResultsTable | Source: Yanki DataForSEO roadmap canvas",High,"yanki,semrush_ai,sem-ai-5",To Do
[sem-ai-6] Competitor Research page — up to 5 domains; AI Visibility + Mentions compare,Task ID: sem-ai-6 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_ai,sem-ai-6",To Do
[sem-ai-7] Gap taxonomy filters: Missing / Weak / Shared / Strong / Unique / Untapped,"Task ID: sem-ai-7 | Workstream: semrush_ai | Canvas priority: P0 | Files: visibility_gaps, competitor_citation_share | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-7",To Do
[sem-ai-8] Competitor source gap view — domains cited for peers but not target brand,Task ID: sem-ai-8 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-8",To Do
[sem-ai-9] Prompt Research — seed topic flow: related topics + modeled AI Volume + intent,Task ID: sem-ai-9 | Workstream: semrush_ai | Canvas priority: P1 | Files: CustomGeoGuidedWizard | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-9",To Do
[sem-ai-10] Prompt portfolio save → import into guided analysis or tracking campaign,Task ID: sem-ai-10 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-10",To Do
"[sem-ai-11] Brand profile entity: domain, locale, competitors, weekly snapshot cadence",Task ID: sem-ai-11 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-11",To Do
[sem-ai-12] Brand Performance — Share of Voice vs Sentiment quadrant + business-driver bars,Task ID: sem-ai-12 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-12",To Do
[sem-ai-13] Perception — strength/improvement themes + claim verification workflow,"Task ID: sem-ai-13 | Workstream: semrush_ai | Canvas priority: P1 | Files: visibility_drivers, audit sentiment | Source: Yanki DataForSEO roadmap canvas",High,"yanki,semrush_ai,sem-ai-13",To Do
[sem-ai-14] Narrative Drivers — breakdown by question (branded/non-branded) + cited domain register,Task ID: sem-ai-14 | Workstream: semrush_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_ai,sem-ai-14",To Do
[sem-ai-15] Questions — topic distribution + intent distribution from brand prompt set,Task ID: sem-ai-15 | Workstream: semrush_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_ai,sem-ai-15",To Do
[sem-ai-16] Site Audit — AI Search Health score separate from general Site Health,Task ID: sem-ai-16 | Workstream: semrush_ai | Canvas priority: P1 | Files: site_audit engine | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-16",To Do
[sem-ai-17] Site Audit — blocked AI crawler detection + AI-specific issue filters,Task ID: sem-ai-17 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-17",To Do
"[sem-ai-18] Prompt Tracking campaign — custom prompt set, daily re-run, time series","Task ID: sem-ai-18 | Workstream: semrush_ai | Canvas priority: P0 | Files: analysis history, scheduled jobs | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-18",To Do
[sem-ai-19] Tracking snapshot history — response + sources diff between runs,Task ID: sem-ai-19 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-19",To Do
[sem-ai-20] Content Creation lite — gap/opportunity → interventions brief + optimize URL path,Task ID: sem-ai-20 | Workstream: semrush_ai | Canvas priority: P2 | Files: interventions | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_ai,sem-ai-20",To Do
"[sem-seo-1] SEO Dashboard — project overview cards linking to Site Audit, tracking, rankings",Task ID: sem-seo-1 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-1",To Do
[sem-seo-2] Site Audit — crawl errors/warnings/notices with affected URLs + task export,"Task ID: sem-seo-2 | Workstream: semrush_seo | Canvas priority: P0 | Files: site_audit_runner, site_audit_engine | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_seo,sem-seo-2",To Do
"[sem-seo-3] Site Health score + thematic reports (HTTPS, performance, internal linking)",Task ID: sem-seo-3 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-3",To Do
"[sem-seo-4] Position Tracking — custom keyword list, device/location scope, daily rank",Task ID: sem-seo-4 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-4",To Do
[sem-seo-5] Position Tracking — Share of Voice + ranking distribution charts,Task ID: sem-seo-5 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-5",To Do
[sem-seo-6] Domain Overview — organic/backlink/AI visibility summary for any domain,Task ID: sem-seo-6 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-6",To Do
[sem-seo-7] Organic Rankings — keyword-URL table from DataForSEO SERP database,"Task ID: sem-seo-7 | Workstream: semrush_seo | Canvas priority: P0 | Files: serp/dataforseo.py, keyword API | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_seo,sem-seo-7",To Do
"[sem-seo-8] Top Pages — URL table with Organic + AI source filters, main keyword, referring domains",Task ID: sem-seo-8 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-8",To Do
[sem-seo-9] Compare Domains — 5-way side-by-side metrics + keyword overlap summary,Task ID: sem-seo-9 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-9",To Do
[sem-seo-10] Topic Research — seed topic → subtopic/question cards for editorial angles,Task ID: sem-seo-10 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-10",To Do
[sem-seo-11] SEO Writing Assistant — draft scores (readability/SEO/tone/originality) via interventions,Task ID: sem-seo-11 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-11",To Do
[sem-seo-12] Dashboard GSC/GA4 integration placeholder for owned-domain validation overlay,Task ID: sem-seo-12 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-12",To Do
[sem-kw-1] Keyword Gap — compare up to 5 targets; Shared/Missing/Weak/Strong/Untapped/Unique,"Task ID: sem-kw-1 | Workstream: semrush_keyword | Canvas priority: P0 | Files: keyword API, DataForSEO | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_keyword,sem-kw-1",To Do
"[sem-kw-2] Keyword Gap — intent, volume, KD columns + export prioritized opportunity list",Task ID: sem-kw-2 | Workstream: semrush_keyword | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_keyword,sem-kw-2",To Do
[sem-kw-3] Backlink Gap — referring domain Best/Shared/Strong groups vs competitors,Task ID: sem-kw-3 | Workstream: semrush_keyword | Canvas priority: P2 | Files: backlinks API | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-3",To Do
"[sem-kw-4] Keyword Overview — single-query card: volume, KD, intent, SERP preview, PKD optional",Task ID: sem-kw-4 | Workstream: semrush_keyword | Canvas priority: P1 | Files: keyword/rank_check.py | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_keyword,sem-kw-4",To Do
[sem-kw-5] Keyword Magic Tool — seed expand + question/volume/KD filters (DataForSEO),Task ID: sem-kw-5 | Workstream: semrush_keyword | Canvas priority: P0 | Files: keyword/searxng_expand.py → dataforseo | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_keyword,sem-kw-5",To Do
[sem-kw-6] Keyword Magic Tool — saved keyword lists + export to Strategy Builder,Task ID: sem-kw-6 | Workstream: semrush_keyword | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_keyword,sem-kw-6",To Do
[sem-kw-7] Keyword Strategy Builder — auto-cluster keywords into page groups,Task ID: sem-kw-7 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-7",To Do
[sem-kw-8] Strategy Builder — pillar/subpage topical map UI + production priority,Task ID: sem-kw-8 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-8",To Do
[sem-kw-9] Pipeline handoff: Gap/Magic selections → Strategy Builder → interventions,Task ID: sem-kw-9 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-9",To Do
[sem-tr-0] ADR: Traffic & Market phased approach — licensed panel vs first-party/public-only path,Task ID: sem-tr-0 | Workstream: semrush_traffic | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_traffic,sem-tr-0",To Do
[sem-tr-1] Phase 1 shell — saved competitor lists + shared global filters across reports,Task ID: sem-tr-1 | Workstream: semrush_traffic | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_traffic,sem-tr-1",To Do
"[sem-tr-2] Comparison table + CSV export with timestamp, scope, and provenance disclaimers",Task ID: sem-tr-2 | Workstream: semrush_traffic | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_traffic,sem-tr-2",To Do
[sem-tr-3] Traffic Analytics baseline UI — wire with owned GA4 + public SEO data first,Task ID: sem-tr-3 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-3",To Do
[sem-tr-4] Market Overview + growth quadrant (deferred until licensed panel data),Task ID: sem-tr-4 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-4",To Do
[sem-tr-5] Competitor Monitoring — detect new pages/ads/social; alert rules,Task ID: sem-tr-5 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-5",To Do
[sem-tr-6] Traffic Distribution — channel dashboard (Organic/Paid/Social/AI/Referral/Email/Display),Task ID: sem-tr-6 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-6",To Do
[sem-tr-7] Sources & Destinations + Top Pages + Subfolders/Page Groups views,Task ID: sem-tr-7 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-7",To Do
"[sem-tr-8] Regional Trends — countries, US states, business/geographic regions",Task ID: sem-tr-8 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-8",To Do
"[sem-tr-9] Audience Profile — demographics, overlap, socioeconomics, behavior affinities",Task ID: sem-tr-9 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-9",To Do
[sem-tr-10] Daily Trends + Industry Bulk Analysis + Trends API entitlements,Task ID: sem-tr-10 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-10",To Do
"[mod-0] ADR + docs/standalone-modules-plan.md — module run pattern, no auto-trigger rule",Task ID: mod-0 | Workstream: standalone | Canvas priority: P0 | Files: docs/standalone-modules-plan.md | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,standalone,mod-0",To Do
"[mod-1] BrandContext entity — brand, domain, locale, competitors; optional link from analyses","Task ID: mod-1 | Workstream: standalone | Canvas priority: P0 | Files: db/models.py, alembic | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,standalone,mod-1",To Do
[mod-2] Coupling map: pipeline step → module → vendor (update touchpoint doc),"Task ID: mod-2 | Workstream: standalone | Canvas priority: P0 | Files: docs/standalone-modules-plan.md, dataforseo-touchpoint-map.md | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,standalone,mod-2",To Do
[mod-3] POST /api/v1/serp/runs — standalone SERP visibility (DataForSEO adapter),"Task ID: mod-3 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/serp_visibility.py, serp/registry.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-3",To Do
[mod-4] POST /api/v1/ai-visibility/runs — GEO execute+audit without KYC/discovery,"Task ID: mod-4 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/execute_measured.py, llm_analytics_measured.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-4",To Do
[mod-5] POST/GET /api/v1/kyc/profiles — brand context CRUD decoupled from analysis_id,"Task ID: mod-5 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/kyc.py, api/routes.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-5",To Do
"[mod-6] Worker job types: serp_run, geo_run, kyc_extract — separate from analysis bundle","Task ID: mod-6 | Workstream: standalone | Canvas priority: P1 | Files: worker, pipeline/runner.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-6",To Do
[mod-7] unlinked_mentions → explicit geo_run_ids + serp_run_ids (opt-in join only),Task ID: mod-7 | Workstream: standalone | Canvas priority: P2 | Files: backlink/gap.py | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,standalone,mod-7",To Do
"[mod-8] POST /analyses → thin orchestrator with per-step flags { kyc, geo, serp }","Task ID: mod-8 | Workstream: standalone | Canvas priority: P2 | Files: api/routes.py, pipeline/runner.py | Source: Yanki DataForSEO roadmap canvas",Medium,"yanki,standalone,mod-8",To Do
[mod-9] Frontend module-first nav; guided wizard composes standalone APIs client-side,Task ID: mod-9 | Workstream: standalone | Canvas priority: P2 | Files: frontend/app/ | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,standalone,mod-9",To Do
[mod-10] Backlinks DataForSEO adapter — separate from SERP swap (BACKLINK_VENDOR=dataforseo),"Task ID: mod-10 | Workstream: standalone | Canvas priority: P1 | Files: backlink/registry.py, backlink/mock.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-10",To Do
[mod-11] POST /site-audit/runs + worker deploy topology,"Task ID: mod-11 | Workstream: standalone | Canvas priority: P2 | Files: site_audit/, deploy/ | Source: Yanki DataForSEO roadmap canvas",Medium,"yanki,standalone,mod-11",To Do
[mod-12] Deprecation plan: analysis_id as sole entry point → bundle optional,Task ID: mod-12 | Workstream: standalone | Canvas priority: P2 | Files: docs/standalone-modules-plan.md | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,standalone,mod-12",To Do
[k0] K0 — Plan onayı (keyword + backlinks ayrı PR stratejisi),Task ID: k0 | Workstream: keywords_pr | Canvas priority: P0 | Files: Canvas: dataforseo-keyword-backlink-plan | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k0",Done
[k1] K1 — Keyword provider wiring (SERP_PROVIDER shared registry),Task ID: k1 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k1",Done
[k2] K2 — Expand SERP-agnostic (SerpKeywordSource),Task ID: k2 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k2",Done
[k3] K3 — Rank check same SERP source,Task ID: k3 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k3",Done
[k4] K4 — Config / env / preflight (check_env),Task ID: k4 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k4",Done
