Work item id,Work type,Summary,Description,Priority,Status,Labels,Parent
1,Task,"[dfs-1] Map every SearXNG / SERP touchpoint in backend (registry, workers, env)","Task ID: dfs-1 | Workstream: dataforseo | Canvas priority: P0 | Files: serp/registry.py, keyword/registry.py, serp_visibility.py, deploy/ | Source: Yanki DataForSEO roadmap canvas",Highest,Done,"yanki,dataforseo,dfs-1",-1
2,Task,"[dfs-2] DataForSEO API spike: endpoints, auth, rate limits, $/1k SERP calls",Task ID: dfs-2 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,dataforseo,dfs-2",-1
3,Task,[dfs-3] Cost model: current SearXNG infra vs DataForSEO at expected analysis volume,Task ID: dfs-3 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,dataforseo,dfs-3",-1
4,Task,[dfs-4] Implement app/serp/dataforseo.py adapter (SerpSource interface),"Task ID: dfs-4 | Workstream: dataforseo | Canvas priority: P0 | Files: serp/base.py, serp/searxng.py (reference) | Source: Yanki DataForSEO roadmap canvas",Highest,Done,"yanki,dataforseo,dfs-4",-1
5,Task,[dfs-5] Wire serp/registry.py: SERP_PROVIDER=dataforseo | searxng (transitional),Task ID: dfs-5 | Workstream: dataforseo | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,dataforseo,dfs-5",-1
6,Task,[dfs-6] Replace keyword/searxng_expand with DataForSEO keyword/SERP suggestions,"Task ID: dfs-6 | Workstream: dataforseo | Canvas priority: P0 | Files: keyword/searxng_expand.py, keyword/registry.py | Source: Yanki DataForSEO roadmap canvas",Highest,Done,"yanki,dataforseo,dfs-6",-1
7,Task,[dfs-7] Migrate keyword/rank_check to DataForSEO SERP position,Task ID: dfs-7 | Workstream: dataforseo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,Done,"yanki,dataforseo,dfs-7",-1
8,Task,[dfs-8] Evaluate Tavily → DataForSEO for measured grounded search (keep Tavily if cheaper),"Task ID: dfs-8 | Workstream: dataforseo | Canvas priority: P1 | Files: llm_analytics_measured.py, providers/tavily.py | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,dataforseo,dfs-8",-1
9,Task,"[dfs-9] Update deploy: remove SearXNG service, add DATAFORSEO_* secrets, docs",Task ID: dfs-9 | Workstream: dataforseo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,dataforseo,dfs-9",-1
10,Task,[dfs-10] Retire searxng tests / integration harness or gate behind legacy flag,Task ID: dfs-10 | Workstream: dataforseo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,dataforseo,dfs-10",-1
11,Task,[val-sh-1] Pick 4–6 anchor brands + prompt set; freeze locale/device for SERP pulls,Task ID: val-sh-1 | Workstream: validation_shared | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_shared,val-sh-1",-2
12,Task,[val-sh-2] Batch simulated GEO runs (geo_mode=simulated) — primary dataset,"Task ID: val-sh-2 | Workstream: validation_shared | Canvas priority: P0 | Files: simulated.py, execute_measured.py | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,validation_shared,val-sh-2",-2
13,Task,[val-sh-3] Pull DataForSEO SERP snapshots for same query texts (store raw JSON),Task ID: val-sh-3 | Workstream: validation_shared | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_shared,val-sh-3",-2
14,Task,[val-sh-4] Optional: measured runs on same corpus — control arm for both tracks,Task ID: val-sh-4 | Workstream: validation_shared | Canvas priority: P1 | Files: llm_analytics_measured.py | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_shared,val-sh-4",-2
15,Task,"[val-ai-1] Export JSONL pairs: {prompt, brand, raw_audit_blob, raw_serp_blob} — no field mapping",Task ID: val-ai-1 | Workstream: validation_ai | Canvas priority: P0 | Files: scripts/eval/ | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_ai,val-ai-1",-3
16,Task,"[val-ai-2] Write correlation judge prompt: connections, orphans, contradictions — kuralsız",Task ID: val-ai-2 | Workstream: validation_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_ai,val-ai-2",-3
17,Task,[val-ai-3] Implement judge runner (OpenRouter): pair in → structured linkage JSON,Task ID: val-ai-3 | Workstream: validation_ai | Canvas priority: P0 | Files: scripts/eval/serp_correlation_judge.py | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_ai,val-ai-3",-3
18,Task,[val-ai-4] Run judge on full simulated corpus; persist per prompt×brand,Task ID: val-ai-4 | Workstream: validation_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_ai,val-ai-4",-3
19,Task,[val-ai-5] Human spot-check ~20 pairs — calibrate false links vs missed links,Task ID: val-ai-5 | Workstream: validation_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_ai,val-ai-5",-3
20,Task,[val-ai-6] Aggregate connection density by audit section (which fields ever touch SERP?),Task ID: val-ai-6 | Workstream: validation_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_ai,val-ai-6",-3
21,Task,[val-ai-7] Product call: zero-linkage fields → disclaimer or hide in simulate mode,Task ID: val-ai-7 | Workstream: validation_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,validation_ai,val-ai-7",-3
22,Task,[val-rb-1] Define alignment schema: audit field → SERP field mapping table,Task ID: val-rb-1 | Workstream: validation_rules | Canvas priority: P0 | Files: docs/eval-serp-alignment.md | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_rules,val-rb-1",-4
23,Task,"[val-rb-2] Normalize exports: parse citations, entities, SERP domains into comparable sets",Task ID: val-rb-2 | Workstream: validation_rules | Canvas priority: P0 | Files: scripts/eval/serp_normalize.py | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_rules,val-rb-2",-4
24,Task,"[val-rb-3] Implement citation metrics: domain overlap %, URL match rate",Task ID: val-rb-3 | Workstream: validation_rules | Canvas priority: P0 | Files: scripts/eval/serp_rule_metrics.py | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_rules,val-rb-3",-4
25,Task,[val-rb-4] Implement entity co-mention precision/recall vs SERP token extraction,Task ID: val-rb-4 | Workstream: validation_rules | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,validation_rules,val-rb-4",-4
26,Task,[val-rb-5] Footprint rule: brand in top-N organic ⇔ audit.mentioned / footprint boolean,Task ID: val-rb-5 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_rules,val-rb-5",-4
27,Task,[val-rb-6] Gap heuristics: weak_ranking ⇔ brand absent from top 10; score label accuracy,Task ID: val-rb-6 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_rules,val-rb-6",-4
28,Task,[val-rb-7] Run full rule suite on simulated + measured; compare score distributions,Task ID: val-rb-7 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_rules,val-rb-7",-4
29,Task,[val-rb-8] Publish rule-based report: per-field agreement % + simulate vs measured delta,Task ID: val-rb-8 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,validation_rules,val-rb-8",-4
30,Task,[val-rb-9] Reconcile tracks: where AI finds links but rules score 0 (and vice versa),Task ID: val-rb-9 | Workstream: validation_rules | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,validation_rules,val-rb-9",-4
31,Task,[prod-1] Product spec: Top cited pages for your industry (Semrush AI parity),Task ID: prod-1 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,product,prod-1",-5
32,Task,"[prod-2] Define industry scope: KYC category, prompt cluster, or vertical tag",Task ID: prod-2 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,product,prod-2",-5
33,Task,[prod-3] Backend: aggregate citation URLs across analyses / geo_records by domain+path,"Task ID: prod-3 | Workstream: product | Canvas priority: P0 | Files: geo_records.py, checker_summary.py | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,product,prod-3",-5
34,Task,[prod-4] API endpoint: top pages ranked by citation count + share of voice,Task ID: prod-4 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,product,prod-4",-5
35,Task,[prod-5] Frontend page: /ai-visibility/top-cited-pages (table + domain drill-down),Task ID: prod-5 | Workstream: product | Canvas priority: P0 | Files: app/ai-visibility/citations/ | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,product,prod-5",-5
36,Task,[prod-6] Nav + shell: add under AI Visibility toolkit (semrush nav parity),Task ID: prod-6 | Workstream: product | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,product,prod-6",-5
37,Task,[prod-7] Optional: enrich with DataForSEO industry SERP benchmarks when live,Task ID: prod-7 | Workstream: product | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,product,prod-7",-5
38,Task,[prod-8] Export / filter by date range and competitor set,Task ID: prod-8 | Workstream: product | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,product,prod-8",-5
39,Task,"[inf-1] Mirror-push repo to new GitHub org (branches, no PRs)",Task ID: inf-1 | Workstream: infra | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,infra,inf-1",-6
40,Task,[inf-2] Research consistent test deploy: single compose + volume wipe + migration head,Task ID: inf-2 | Workstream: infra | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,infra,inf-2",-6
41,Task,[inf-3] Document worker inventory + which jobs touch SERP/search providers,Task ID: inf-3 | Workstream: infra | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,infra,inf-3",-6
42,Task,[sem-ai-0] Metric glossary UI: Mentions ≠ Citations ≠ Cited Pages; SOV ≠ market share; AI Volume disclaimer,"Task ID: sem-ai-0 | Workstream: semrush_ai | Canvas priority: P0 | Files: methodology, results UI | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_ai,sem-ai-0",-7
43,Task,"[sem-ai-1] Visibility Overview — separate Mentions, Citations, Cited Pages cards + 0–100 score","Task ID: sem-ai-1 | Workstream: semrush_ai | Canvas priority: P0 | Files: geo_score, citation_summary | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_ai,sem-ai-1",-7
44,Task,[sem-ai-2] Visibility trend chart with date scope + platform/country breakdowns,Task ID: sem-ai-2 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,semrush_ai,sem-ai-2",-7
45,Task,[sem-ai-3] Topics + topic opportunities table from cross-run aggregation,Task ID: sem-ai-3 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,semrush_ai,sem-ai-3",-7
46,Task,"[sem-ai-4] Sources table: cited sources, source opportunities, cited pages drill-down","Task ID: sem-ai-4 | Workstream: semrush_ai | Canvas priority: P0 | Files: citations/, top-cited-pages | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_ai,sem-ai-4",-7
47,Task,[sem-ai-5] Inline prompt response inspector — full answer + source URLs expandable,"Task ID: sem-ai-5 | Workstream: semrush_ai | Canvas priority: P1 | Files: QuestionBreakdown, ResultsTable | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,semrush_ai,sem-ai-5",-7
48,Task,[sem-ai-6] Competitor Research page — up to 5 domains; AI Visibility + Mentions compare,Task ID: sem-ai-6 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,semrush_ai,sem-ai-6",-7
49,Task,[sem-ai-7] Gap taxonomy filters: Missing / Weak / Shared / Strong / Unique / Untapped,"Task ID: sem-ai-7 | Workstream: semrush_ai | Canvas priority: P0 | Files: visibility_gaps, competitor_citation_share | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_ai,sem-ai-7",-7
50,Task,[sem-ai-8] Competitor source gap view — domains cited for peers but not target brand,Task ID: sem-ai-8 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-8",-7
51,Task,[sem-ai-9] Prompt Research — seed topic flow: related topics + modeled AI Volume + intent,Task ID: sem-ai-9 | Workstream: semrush_ai | Canvas priority: P1 | Files: CustomGeoGuidedWizard | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-9",-7
52,Task,[sem-ai-10] Prompt portfolio save → import into guided analysis or tracking campaign,Task ID: sem-ai-10 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-10",-7
53,Task,"[sem-ai-11] Brand profile entity: domain, locale, competitors, weekly snapshot cadence",Task ID: sem-ai-11 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-11",-7
54,Task,[sem-ai-12] Brand Performance — Share of Voice vs Sentiment quadrant + business-driver bars,Task ID: sem-ai-12 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-12",-7
55,Task,[sem-ai-13] Perception — strength/improvement themes + claim verification workflow,"Task ID: sem-ai-13 | Workstream: semrush_ai | Canvas priority: P1 | Files: visibility_drivers, audit sentiment | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,semrush_ai,sem-ai-13",-7
56,Task,[sem-ai-14] Narrative Drivers — breakdown by question (branded/non-branded) + cited domain register,Task ID: sem-ai-14 | Workstream: semrush_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_ai,sem-ai-14",-7
57,Task,[sem-ai-15] Questions — topic distribution + intent distribution from brand prompt set,Task ID: sem-ai-15 | Workstream: semrush_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_ai,sem-ai-15",-7
58,Task,[sem-ai-16] Site Audit — AI Search Health score separate from general Site Health,Task ID: sem-ai-16 | Workstream: semrush_ai | Canvas priority: P1 | Files: site_audit engine | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-16",-7
59,Task,[sem-ai-17] Site Audit — blocked AI crawler detection + AI-specific issue filters,Task ID: sem-ai-17 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-17",-7
60,Task,"[sem-ai-18] Prompt Tracking campaign — custom prompt set, daily re-run, time series","Task ID: sem-ai-18 | Workstream: semrush_ai | Canvas priority: P0 | Files: analysis history, scheduled jobs | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_ai,sem-ai-18",-7
61,Task,[sem-ai-19] Tracking snapshot history — response + sources diff between runs,Task ID: sem-ai-19 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_ai,sem-ai-19",-7
62,Task,[sem-ai-20] Content Creation lite — gap/opportunity → interventions brief + optimize URL path,Task ID: sem-ai-20 | Workstream: semrush_ai | Canvas priority: P2 | Files: interventions | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_ai,sem-ai-20",-7
63,Task,"[sem-seo-1] SEO Dashboard — project overview cards linking to Site Audit, tracking, rankings",Task ID: sem-seo-1 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_seo,sem-seo-1",-8
64,Task,[sem-seo-2] Site Audit — crawl errors/warnings/notices with affected URLs + task export,"Task ID: sem-seo-2 | Workstream: semrush_seo | Canvas priority: P0 | Files: site_audit_runner, site_audit_engine | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_seo,sem-seo-2",-8
65,Task,"[sem-seo-3] Site Health score + thematic reports (HTTPS, performance, internal linking)",Task ID: sem-seo-3 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_seo,sem-seo-3",-8
66,Task,"[sem-seo-4] Position Tracking — custom keyword list, device/location scope, daily rank",Task ID: sem-seo-4 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_seo,sem-seo-4",-8
67,Task,[sem-seo-5] Position Tracking — Share of Voice + ranking distribution charts,Task ID: sem-seo-5 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_seo,sem-seo-5",-8
68,Task,[sem-seo-6] Domain Overview — organic/backlink/AI visibility summary for any domain,Task ID: sem-seo-6 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_seo,sem-seo-6",-8
69,Task,[sem-seo-7] Organic Rankings — keyword-URL table from DataForSEO SERP database,"Task ID: sem-seo-7 | Workstream: semrush_seo | Canvas priority: P0 | Files: serp/dataforseo.py, keyword API | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_seo,sem-seo-7",-8
70,Task,"[sem-seo-8] Top Pages — URL table with Organic + AI source filters, main keyword, referring domains",Task ID: sem-seo-8 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_seo,sem-seo-8",-8
71,Task,[sem-seo-9] Compare Domains — 5-way side-by-side metrics + keyword overlap summary,Task ID: sem-seo-9 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_seo,sem-seo-9",-8
72,Task,[sem-seo-10] Topic Research — seed topic → subtopic/question cards for editorial angles,Task ID: sem-seo-10 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_seo,sem-seo-10",-8
73,Task,[sem-seo-11] SEO Writing Assistant — draft scores (readability/SEO/tone/originality) via interventions,Task ID: sem-seo-11 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_seo,sem-seo-11",-8
74,Task,[sem-seo-12] Dashboard GSC/GA4 integration placeholder for owned-domain validation overlay,Task ID: sem-seo-12 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_seo,sem-seo-12",-8
75,Task,[sem-kw-1] Keyword Gap — compare up to 5 targets; Shared/Missing/Weak/Strong/Untapped/Unique,"Task ID: sem-kw-1 | Workstream: semrush_keyword | Canvas priority: P0 | Files: keyword API, DataForSEO | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,semrush_keyword,sem-kw-1",-9
76,Task,"[sem-kw-2] Keyword Gap — intent, volume, KD columns + export prioritized opportunity list",Task ID: sem-kw-2 | Workstream: semrush_keyword | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_keyword,sem-kw-2",-9
77,Task,[sem-kw-3] Backlink Gap — referring domain Best/Shared/Strong groups vs competitors,Task ID: sem-kw-3 | Workstream: semrush_keyword | Canvas priority: P2 | Files: backlinks API | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_keyword,sem-kw-3",-9
78,Task,"[sem-kw-4] Keyword Overview — single-query card: volume, KD, intent, SERP preview, PKD optional",Task ID: sem-kw-4 | Workstream: semrush_keyword | Canvas priority: P1 | Files: keyword/rank_check.py | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_keyword,sem-kw-4",-9
79,Task,[sem-kw-5] Keyword Magic Tool — seed expand + question/volume/KD filters (DataForSEO),Task ID: sem-kw-5 | Workstream: semrush_keyword | Canvas priority: P0 | Files: keyword/searxng_expand.py → dataforseo | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,semrush_keyword,sem-kw-5",-9
80,Task,[sem-kw-6] Keyword Magic Tool — saved keyword lists + export to Strategy Builder,Task ID: sem-kw-6 | Workstream: semrush_keyword | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_keyword,sem-kw-6",-9
81,Task,[sem-kw-7] Keyword Strategy Builder — auto-cluster keywords into page groups,Task ID: sem-kw-7 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_keyword,sem-kw-7",-9
82,Task,[sem-kw-8] Strategy Builder — pillar/subpage topical map UI + production priority,Task ID: sem-kw-8 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_keyword,sem-kw-8",-9
83,Task,[sem-kw-9] Pipeline handoff: Gap/Magic selections → Strategy Builder → interventions,Task ID: sem-kw-9 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_keyword,sem-kw-9",-9
84,Task,[sem-tr-0] ADR: Traffic & Market phased approach — licensed panel vs first-party/public-only path,Task ID: sem-tr-0 | Workstream: semrush_traffic | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,semrush_traffic,sem-tr-0",-10
85,Task,[sem-tr-1] Phase 1 shell — saved competitor lists + shared global filters across reports,Task ID: sem-tr-1 | Workstream: semrush_traffic | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_traffic,sem-tr-1",-10
86,Task,"[sem-tr-2] Comparison table + CSV export with timestamp, scope, and provenance disclaimers",Task ID: sem-tr-2 | Workstream: semrush_traffic | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,semrush_traffic,sem-tr-2",-10
87,Task,[sem-tr-3] Traffic Analytics baseline UI — wire with owned GA4 + public SEO data first,Task ID: sem-tr-3 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-3",-10
88,Task,[sem-tr-4] Market Overview + growth quadrant (deferred until licensed panel data),Task ID: sem-tr-4 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-4",-10
89,Task,[sem-tr-5] Competitor Monitoring — detect new pages/ads/social; alert rules,Task ID: sem-tr-5 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-5",-10
90,Task,[sem-tr-6] Traffic Distribution — channel dashboard (Organic/Paid/Social/AI/Referral/Email/Display),Task ID: sem-tr-6 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-6",-10
91,Task,[sem-tr-7] Sources & Destinations + Top Pages + Subfolders/Page Groups views,Task ID: sem-tr-7 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-7",-10
92,Task,"[sem-tr-8] Regional Trends — countries, US states, business/geographic regions",Task ID: sem-tr-8 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-8",-10
93,Task,"[sem-tr-9] Audience Profile — demographics, overlap, socioeconomics, behavior affinities",Task ID: sem-tr-9 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-9",-10
94,Task,[sem-tr-10] Daily Trends + Industry Bulk Analysis + Trends API entitlements,Task ID: sem-tr-10 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,semrush_traffic,sem-tr-10",-10
95,Task,"[mod-0] ADR + docs/standalone-modules-plan.md — module run pattern, no auto-trigger rule",Task ID: mod-0 | Workstream: standalone | Canvas priority: P0 | Files: docs/standalone-modules-plan.md | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,standalone,mod-0",-11
96,Task,"[mod-1] BrandContext entity — brand, domain, locale, competitors; optional link from analyses","Task ID: mod-1 | Workstream: standalone | Canvas priority: P0 | Files: db/models.py, alembic | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,standalone,mod-1",-11
