Summary,Issue Type,Description,Priority,Labels,Epic Name,Status
[val-ai-7] Product call: zero-linkage fields → disclaimer or hide in simulate mode,Task,Task ID: val-ai-7 | Workstream: validation_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,validation_ai,val-ai-7",GEO Validation — AI Track,To Do
[val-rb-1] Define alignment schema: audit field → SERP field mapping table,Task,Task ID: val-rb-1 | Workstream: validation_rules | Canvas priority: P0 | Files: docs/eval-serp-alignment.md | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-1",GEO Validation — Rule-Based Track,To Do
"[val-rb-2] Normalize exports: parse citations, entities, SERP domains into comparable sets",Task,Task ID: val-rb-2 | Workstream: validation_rules | Canvas priority: P0 | Files: scripts/eval/serp_normalize.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-2",GEO Validation — Rule-Based Track,To Do
"[val-rb-3] Implement citation metrics: domain overlap %, URL match rate",Task,Task ID: val-rb-3 | Workstream: validation_rules | Canvas priority: P0 | Files: scripts/eval/serp_rule_metrics.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-3",GEO Validation — Rule-Based Track,To Do
[val-rb-4] Implement entity co-mention precision/recall vs SERP token extraction,Task,Task ID: val-rb-4 | Workstream: validation_rules | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,validation_rules,val-rb-4",GEO Validation — Rule-Based Track,To Do
[val-rb-5] Footprint rule: brand in top-N organic ⇔ audit.mentioned / footprint boolean,Task,Task ID: val-rb-5 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-5",GEO Validation — Rule-Based Track,To Do
[val-rb-6] Gap heuristics: weak_ranking ⇔ brand absent from top 10; score label accuracy,Task,Task ID: val-rb-6 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-6",GEO Validation — Rule-Based Track,To Do
[val-rb-7] Run full rule suite on simulated + measured; compare score distributions,Task,Task ID: val-rb-7 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-7",GEO Validation — Rule-Based Track,To Do
[val-rb-8] Publish rule-based report: per-field agreement % + simulate vs measured delta,Task,Task ID: val-rb-8 | Workstream: validation_rules | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,validation_rules,val-rb-8",GEO Validation — Rule-Based Track,To Do
[val-rb-9] Reconcile tracks: where AI finds links but rules score 0 (and vice versa),Task,Task ID: val-rb-9 | Workstream: validation_rules | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,validation_rules,val-rb-9",GEO Validation — Rule-Based Track,To Do
[prod-1] Product spec: Top cited pages for your industry (Semrush AI parity),Task,Task ID: prod-1 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-1",Product — Top Cited Pages,To Do
"[prod-2] Define industry scope: KYC category, prompt cluster, or vertical tag",Task,Task ID: prod-2 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-2",Product — Top Cited Pages,To Do
[prod-3] Backend: aggregate citation URLs across analyses / geo_records by domain+path,Task,"Task ID: prod-3 | Workstream: product | Canvas priority: P0 | Files: geo_records.py, checker_summary.py | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,product,prod-3",Product — Top Cited Pages,To Do
[prod-4] API endpoint: top pages ranked by citation count + share of voice,Task,Task ID: prod-4 | Workstream: product | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-4",Product — Top Cited Pages,To Do
[prod-5] Frontend page: /ai-visibility/top-cited-pages (table + domain drill-down),Task,Task ID: prod-5 | Workstream: product | Canvas priority: P0 | Files: app/ai-visibility/citations/ | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,product,prod-5",Product — Top Cited Pages,To Do
[prod-6] Nav + shell: add under AI Visibility toolkit (semrush nav parity),Task,Task ID: prod-6 | Workstream: product | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,product,prod-6",Product — Top Cited Pages,To Do
[prod-7] Optional: enrich with DataForSEO industry SERP benchmarks when live,Task,Task ID: prod-7 | Workstream: product | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,product,prod-7",Product — Top Cited Pages,To Do
[prod-8] Export / filter by date range and competitor set,Task,Task ID: prod-8 | Workstream: product | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,product,prod-8",Product — Top Cited Pages,To Do
"[inf-1] Mirror-push repo to new GitHub org (branches, no PRs)",Task,Task ID: inf-1 | Workstream: infra | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,infra,inf-1",Infrastructure,To Do
[inf-2] Research consistent test deploy: single compose + volume wipe + migration head,Task,Task ID: inf-2 | Workstream: infra | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,infra,inf-2",Infrastructure,To Do
[inf-3] Document worker inventory + which jobs touch SERP/search providers,Task,Task ID: inf-3 | Workstream: infra | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,infra,inf-3",Infrastructure,To Do
[sem-ai-0] Metric glossary UI: Mentions ≠ Citations ≠ Cited Pages; SOV ≠ market share; AI Volume disclaimer,Task,"Task ID: sem-ai-0 | Workstream: semrush_ai | Canvas priority: P0 | Files: methodology, results UI | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-0",Semrush Parity — AI Visibility,To Do
"[sem-ai-1] Visibility Overview — separate Mentions, Citations, Cited Pages cards + 0–100 score",Task,"Task ID: sem-ai-1 | Workstream: semrush_ai | Canvas priority: P0 | Files: geo_score, citation_summary | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-1",Semrush Parity — AI Visibility,To Do
[sem-ai-2] Visibility trend chart with date scope + platform/country breakdowns,Task,Task ID: sem-ai-2 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_ai,sem-ai-2",Semrush Parity — AI Visibility,To Do
[sem-ai-3] Topics + topic opportunities table from cross-run aggregation,Task,Task ID: sem-ai-3 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_ai,sem-ai-3",Semrush Parity — AI Visibility,To Do
"[sem-ai-4] Sources table: cited sources, source opportunities, cited pages drill-down",Task,"Task ID: sem-ai-4 | Workstream: semrush_ai | Canvas priority: P0 | Files: citations/, top-cited-pages | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-4",Semrush Parity — AI Visibility,To Do
[sem-ai-5] Inline prompt response inspector — full answer + source URLs expandable,Task,"Task ID: sem-ai-5 | Workstream: semrush_ai | Canvas priority: P1 | Files: QuestionBreakdown, ResultsTable | Source: Yanki DataForSEO roadmap canvas",High,"yanki,semrush_ai,sem-ai-5",Semrush Parity — AI Visibility,To Do
[sem-ai-6] Competitor Research page — up to 5 domains; AI Visibility + Mentions compare,Task,Task ID: sem-ai-6 | Workstream: semrush_ai | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_ai,sem-ai-6",Semrush Parity — AI Visibility,To Do
[sem-ai-7] Gap taxonomy filters: Missing / Weak / Shared / Strong / Unique / Untapped,Task,"Task ID: sem-ai-7 | Workstream: semrush_ai | Canvas priority: P0 | Files: visibility_gaps, competitor_citation_share | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-7",Semrush Parity — AI Visibility,To Do
[sem-ai-8] Competitor source gap view — domains cited for peers but not target brand,Task,Task ID: sem-ai-8 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-8",Semrush Parity — AI Visibility,To Do
[sem-ai-9] Prompt Research — seed topic flow: related topics + modeled AI Volume + intent,Task,Task ID: sem-ai-9 | Workstream: semrush_ai | Canvas priority: P1 | Files: CustomGeoGuidedWizard | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-9",Semrush Parity — AI Visibility,To Do
[sem-ai-10] Prompt portfolio save → import into guided analysis or tracking campaign,Task,Task ID: sem-ai-10 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-10",Semrush Parity — AI Visibility,To Do
"[sem-ai-11] Brand profile entity: domain, locale, competitors, weekly snapshot cadence",Task,Task ID: sem-ai-11 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-11",Semrush Parity — AI Visibility,To Do
[sem-ai-12] Brand Performance — Share of Voice vs Sentiment quadrant + business-driver bars,Task,Task ID: sem-ai-12 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-12",Semrush Parity — AI Visibility,To Do
[sem-ai-13] Perception — strength/improvement themes + claim verification workflow,Task,"Task ID: sem-ai-13 | Workstream: semrush_ai | Canvas priority: P1 | Files: visibility_drivers, audit sentiment | Source: Yanki DataForSEO roadmap canvas",High,"yanki,semrush_ai,sem-ai-13",Semrush Parity — AI Visibility,To Do
[sem-ai-14] Narrative Drivers — breakdown by question (branded/non-branded) + cited domain register,Task,Task ID: sem-ai-14 | Workstream: semrush_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_ai,sem-ai-14",Semrush Parity — AI Visibility,To Do
[sem-ai-15] Questions — topic distribution + intent distribution from brand prompt set,Task,Task ID: sem-ai-15 | Workstream: semrush_ai | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_ai,sem-ai-15",Semrush Parity — AI Visibility,To Do
[sem-ai-16] Site Audit — AI Search Health score separate from general Site Health,Task,Task ID: sem-ai-16 | Workstream: semrush_ai | Canvas priority: P1 | Files: site_audit engine | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-16",Semrush Parity — AI Visibility,To Do
[sem-ai-17] Site Audit — blocked AI crawler detection + AI-specific issue filters,Task,Task ID: sem-ai-17 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-17",Semrush Parity — AI Visibility,To Do
"[sem-ai-18] Prompt Tracking campaign — custom prompt set, daily re-run, time series",Task,"Task ID: sem-ai-18 | Workstream: semrush_ai | Canvas priority: P0 | Files: analysis history, scheduled jobs | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_ai,sem-ai-18",Semrush Parity — AI Visibility,To Do
[sem-ai-19] Tracking snapshot history — response + sources diff between runs,Task,Task ID: sem-ai-19 | Workstream: semrush_ai | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_ai,sem-ai-19",Semrush Parity — AI Visibility,To Do
[sem-ai-20] Content Creation lite — gap/opportunity → interventions brief + optimize URL path,Task,Task ID: sem-ai-20 | Workstream: semrush_ai | Canvas priority: P2 | Files: interventions | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_ai,sem-ai-20",Semrush Parity — AI Visibility,To Do
"[sem-seo-1] SEO Dashboard — project overview cards linking to Site Audit, tracking, rankings",Task,Task ID: sem-seo-1 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-1",Semrush Parity — SEO,To Do
[sem-seo-2] Site Audit — crawl errors/warnings/notices with affected URLs + task export,Task,"Task ID: sem-seo-2 | Workstream: semrush_seo | Canvas priority: P0 | Files: site_audit_runner, site_audit_engine | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_seo,sem-seo-2",Semrush Parity — SEO,To Do
"[sem-seo-3] Site Health score + thematic reports (HTTPS, performance, internal linking)",Task,Task ID: sem-seo-3 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-3",Semrush Parity — SEO,To Do
"[sem-seo-4] Position Tracking — custom keyword list, device/location scope, daily rank",Task,Task ID: sem-seo-4 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-4",Semrush Parity — SEO,To Do
[sem-seo-5] Position Tracking — Share of Voice + ranking distribution charts,Task,Task ID: sem-seo-5 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-5",Semrush Parity — SEO,To Do
[sem-seo-6] Domain Overview — organic/backlink/AI visibility summary for any domain,Task,Task ID: sem-seo-6 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-6",Semrush Parity — SEO,To Do
[sem-seo-7] Organic Rankings — keyword-URL table from DataForSEO SERP database,Task,"Task ID: sem-seo-7 | Workstream: semrush_seo | Canvas priority: P0 | Files: serp/dataforseo.py, keyword API | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_seo,sem-seo-7",Semrush Parity — SEO,To Do
"[sem-seo-8] Top Pages — URL table with Organic + AI source filters, main keyword, referring domains",Task,Task ID: sem-seo-8 | Workstream: semrush_seo | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_seo,sem-seo-8",Semrush Parity — SEO,To Do
[sem-seo-9] Compare Domains — 5-way side-by-side metrics + keyword overlap summary,Task,Task ID: sem-seo-9 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-9",Semrush Parity — SEO,To Do
[sem-seo-10] Topic Research — seed topic → subtopic/question cards for editorial angles,Task,Task ID: sem-seo-10 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-10",Semrush Parity — SEO,To Do
[sem-seo-11] SEO Writing Assistant — draft scores (readability/SEO/tone/originality) via interventions,Task,Task ID: sem-seo-11 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-11",Semrush Parity — SEO,To Do
[sem-seo-12] Dashboard GSC/GA4 integration placeholder for owned-domain validation overlay,Task,Task ID: sem-seo-12 | Workstream: semrush_seo | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_seo,sem-seo-12",Semrush Parity — SEO,To Do
[sem-kw-1] Keyword Gap — compare up to 5 targets; Shared/Missing/Weak/Strong/Untapped/Unique,Task,"Task ID: sem-kw-1 | Workstream: semrush_keyword | Canvas priority: P0 | Files: keyword API, DataForSEO | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,semrush_keyword,sem-kw-1",Semrush Parity — Keyword,To Do
"[sem-kw-2] Keyword Gap — intent, volume, KD columns + export prioritized opportunity list",Task,Task ID: sem-kw-2 | Workstream: semrush_keyword | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_keyword,sem-kw-2",Semrush Parity — Keyword,To Do
[sem-kw-3] Backlink Gap — referring domain Best/Shared/Strong groups vs competitors,Task,Task ID: sem-kw-3 | Workstream: semrush_keyword | Canvas priority: P2 | Files: backlinks API | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-3",Semrush Parity — Keyword,To Do
"[sem-kw-4] Keyword Overview — single-query card: volume, KD, intent, SERP preview, PKD optional",Task,Task ID: sem-kw-4 | Workstream: semrush_keyword | Canvas priority: P1 | Files: keyword/rank_check.py | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_keyword,sem-kw-4",Semrush Parity — Keyword,To Do
[sem-kw-5] Keyword Magic Tool — seed expand + question/volume/KD filters (DataForSEO),Task,Task ID: sem-kw-5 | Workstream: semrush_keyword | Canvas priority: P0 | Files: keyword/searxng_expand.py → dataforseo | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_keyword,sem-kw-5",Semrush Parity — Keyword,To Do
[sem-kw-6] Keyword Magic Tool — saved keyword lists + export to Strategy Builder,Task,Task ID: sem-kw-6 | Workstream: semrush_keyword | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_keyword,sem-kw-6",Semrush Parity — Keyword,To Do
[sem-kw-7] Keyword Strategy Builder — auto-cluster keywords into page groups,Task,Task ID: sem-kw-7 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-7",Semrush Parity — Keyword,To Do
[sem-kw-8] Strategy Builder — pillar/subpage topical map UI + production priority,Task,Task ID: sem-kw-8 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-8",Semrush Parity — Keyword,To Do
[sem-kw-9] Pipeline handoff: Gap/Magic selections → Strategy Builder → interventions,Task,Task ID: sem-kw-9 | Workstream: semrush_keyword | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_keyword,sem-kw-9",Semrush Parity — Keyword,To Do
[sem-tr-0] ADR: Traffic & Market phased approach — licensed panel vs first-party/public-only path,Task,Task ID: sem-tr-0 | Workstream: semrush_traffic | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,semrush_traffic,sem-tr-0",Semrush Parity — Traffic,To Do
[sem-tr-1] Phase 1 shell — saved competitor lists + shared global filters across reports,Task,Task ID: sem-tr-1 | Workstream: semrush_traffic | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_traffic,sem-tr-1",Semrush Parity — Traffic,To Do
"[sem-tr-2] Comparison table + CSV export with timestamp, scope, and provenance disclaimers",Task,Task ID: sem-tr-2 | Workstream: semrush_traffic | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,semrush_traffic,sem-tr-2",Semrush Parity — Traffic,To Do
[sem-tr-3] Traffic Analytics baseline UI — wire with owned GA4 + public SEO data first,Task,Task ID: sem-tr-3 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-3",Semrush Parity — Traffic,To Do
[sem-tr-4] Market Overview + growth quadrant (deferred until licensed panel data),Task,Task ID: sem-tr-4 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-4",Semrush Parity — Traffic,To Do
[sem-tr-5] Competitor Monitoring — detect new pages/ads/social; alert rules,Task,Task ID: sem-tr-5 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-5",Semrush Parity — Traffic,To Do
[sem-tr-6] Traffic Distribution — channel dashboard (Organic/Paid/Social/AI/Referral/Email/Display),Task,Task ID: sem-tr-6 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-6",Semrush Parity — Traffic,To Do
[sem-tr-7] Sources & Destinations + Top Pages + Subfolders/Page Groups views,Task,Task ID: sem-tr-7 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-7",Semrush Parity — Traffic,To Do
"[sem-tr-8] Regional Trends — countries, US states, business/geographic regions",Task,Task ID: sem-tr-8 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-8",Semrush Parity — Traffic,To Do
"[sem-tr-9] Audience Profile — demographics, overlap, socioeconomics, behavior affinities",Task,Task ID: sem-tr-9 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-9",Semrush Parity — Traffic,To Do
[sem-tr-10] Daily Trends + Industry Bulk Analysis + Trends API entitlements,Task,Task ID: sem-tr-10 | Workstream: semrush_traffic | Canvas priority: P2 | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,semrush_traffic,sem-tr-10",Semrush Parity — Traffic,To Do
"[mod-0] ADR + docs/standalone-modules-plan.md — module run pattern, no auto-trigger rule",Task,Task ID: mod-0 | Workstream: standalone | Canvas priority: P0 | Files: docs/standalone-modules-plan.md | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,standalone,mod-0",Standalone Modules,To Do
"[mod-1] BrandContext entity — brand, domain, locale, competitors; optional link from analyses",Task,"Task ID: mod-1 | Workstream: standalone | Canvas priority: P0 | Files: db/models.py, alembic | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,standalone,mod-1",Standalone Modules,To Do
[mod-2] Coupling map: pipeline step → module → vendor (update touchpoint doc),Task,"Task ID: mod-2 | Workstream: standalone | Canvas priority: P0 | Files: docs/standalone-modules-plan.md, dataforseo-touchpoint-map.md | Source: Yanki DataForSEO roadmap canvas",Highest,"yanki,standalone,mod-2",Standalone Modules,To Do
[mod-3] POST /api/v1/serp/runs — standalone SERP visibility (DataForSEO adapter),Task,"Task ID: mod-3 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/serp_visibility.py, serp/registry.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-3",Standalone Modules,To Do
